backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,evaluation,method,auroc,n,n_negative,n_positive,coordinate_space
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,target_local_cv,target_local,0.7635135213977362,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,target_external,unaligned,0.6194438558259,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,target_external,mean_variance,0.6230444510203768,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,target_external,coral,0.5991877803101341,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,source_internal,unaligned,0.7103449385040967,1701,1049,652,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,target_local_cv,target_local,0.7430832770782061,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,target_external,unaligned,0.5546852990735178,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,target_external,mean_variance,0.5519584757429664,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,target_external,coral,0.5609654974459286,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,source_internal,unaligned,0.9118744770661177,1146,669,477,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,target_local_cv,target_local,0.8683627221516981,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,target_external,unaligned,0.6581814304982545,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,target_external,mean_variance,0.6292174111393208,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,target_external,coral,0.6044782410345922,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,source_internal,unaligned,0.841138151425762,257,144,113,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,target_local_cv,target_local,0.9157272461329176,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,target_external,unaligned,0.7006636889133302,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,target_external,mean_variance,0.713898574110292,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,target_external,coral,0.6424318479712547,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,source_internal,unaligned,0.898079990473594,1146,669,477,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,target_local_cv,target_local,0.8657494644557283,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,target_external,unaligned,0.6640625000000001,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,target_external,mean_variance,0.6577599373214853,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,target_external,coral,0.607508033164075,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,sex,0.1,5104,2003,1700,False,source_internal,unaligned,0.7362643748379618,1701,1079,622,source-training-image-standardised-patient-mean-coordinates
